"Company","CDM","Status","Type","Geography","Public/ Private","Asset Types","PE AUM (billions)","RE AUM (billions)","Number of Sites","Rank","Tier","HQ Region","Frameworks","Notes","","BFO Company ID","BFO Company Name","Zoom Company ID","Zoom Company Name","Zoom Webiste","Email Domain","Contacts","Contact Types","Salesperson Tiered List","Status","","","","","PE OR RE","Tier List","","","","",""
"KKR","Cristy House","Hold Off","Asset Management Firm","","","","117.889","","","Missing Data","Not on Target List","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"EQT Group","Cristy House","Client","Asset Management Firm","","","","113.257","","","Missing Data","Tier III","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Blackstone","Rose Shaver","Client","Asset Management Firm","Global","Private","Diversified","95.721","278","2000","17","Tier 1","North America","GRESB, CDP, UN PRI, Largest","Private Equity","","","The Blackstone Group, LP - Global Headquarters","","","","","0","-","Rose Shaver","TRUE","","","","","","1","","","","",""
"Norwest","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","6","","150","09","Not on Target List","North America","Largest","","","","","532319497","Norwest Venture Partners","www.nvp.com","firstinitiallastname@norwestcorp.com","0","-","#N/A","#N/A","","","","","","1","","","","",""
"TPG","Cristy House","Inside Sales","Asset Management Firm","","","","72.584","","","Missing Data","Tier 1","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"CVC Capital Partners","Cristy House","Client","Asset Management Firm","","","","72.465","","","Missing Data","Tier 2","EU","Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Hg","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","72.462","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Silver Lake","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","47.1","","1177.5","13","Tier 2","North America","Largest","","","","","","Silver Lake","www.silverlake.com","","0","-","Dan Baldauf","TRUE","","","","","","1","","","","",""
"Clayton, Dubilier & Rice (CDR)","Dan Baldauf","Hold Off","Private Equity","Global","Private","Private Equity","49.784","","1244.6","14","Tier 2","North America","UN PRI, Largest","","","","Clayton Dubilier & Rice, Inc. - Headquarters","","","","LButler@cdr.com","0","-","Dan Baldauf","TRUE","","","","","","0","","","","",""
"Insight Partners","Gretchen Bisig","Hold Off","Asset Management Firm","","","","48.163","","","Missing Data","Tier 2","North America","Largest","","","","","","","","","0","-","Gretchen Bisig","TRUE","","","","","","1","","","","",""
"PSG","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","19.274","","481.85","10","Tier 3","North America","Largest","","","","PSG","","Psg","www.psgequity.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Clearlake Capital Group","Sam Ouimet","Inside Sales","Private Equity","Global","Private","Private Equity","45.178","","1129.45","14","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Sam Ouimet","TRUE","","","","","","1","","","","",""
"The Jordan Company","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","17.245","","431.125","12","Tier 3","North America","UN PRI, Largest","","","","","","TJC","www.tjclp.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Coatue Management","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","12.855","","321.375","11","Tier 3","North America","Largest","","","","","","Coatue","www.coatue.com","firstinitiallastname@coatue.com","0","-","N/A","TRUE","","","","","","1","","","","",""
"Bain Capital","Cristy House","Hold Off","Asset Management Firm","","","","40.547","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Advent International","Gretchen Bisig","Hold Off","Asset Management Firm","","","","38.223","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Gretchen Bisig","TRUE","","","","","","1","","","","",""
"The Carlyle Group","Cristy House","Inside Sales","Private Equity","Global","Public","Private Equity","36.4","","910","14","Not on Target List","North America","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Warburg Pincus","Cristy House","Hold Off","Asset Management Firm","","","","34.234","","","Missing Data","Tier 2","North America","UN PRI, Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"H.I.G Capital","Dan Baldauf","Inside Sales","Private Equity","Global","Private","Private Equity","11.903","","297.575","11","Tier 3","North America","Largest","","","","","","H.I.G. Capital","www.hig.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Vista Equity Partners","Cristy House","Hold Off","Asset Management Firm","","","","31.881","","","Missing Data","Tier 2","North America","NZAM, Largest","","","","","127893751","Vista Equity Partners Management LLC","www.vistaequitypartners.com","firstinitiallastname@vistaequitypartners.com","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Apollo Global Management","Cristy House","Inside Sales","Private Equity","Global","Public","Private Equity","31.349","","783.725","14","Tier 1","North America","Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Neuberger Berman Private Markets","Cristy House","Inside Sales","Private Equity","Global","Private","Private Equity","31.303","","782.575","13","Tier 2","North America","Largest","","","","","","","","","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Thomas H. Lee Partners","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","11.667","","291.675","11","Not on Target List","North America","UN PRI, Largest","","","","","","THL","www.thl.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"GTCR","Cristy House","Hold Off","Asset Management Firm","","","","30.18","","","Missing Data","Tier 3","North America","Largest","BX Stakes","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"STG","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","10.562","","264.05","11","Tier 3","North America","UN PRI, Largest","","","","S.T.G. - Shared Technology Services Group INC.","","STG","www.stg.com","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Bridgepoint","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","29.323","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"New Mountain Capital","Kendal Etling","","","","","","28.537","","","Missing Data","Not on Target List","North America","UN PRI, Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Partners Group","Cristy House","Inside Sales","Asset Management Firm","Global","Private","Commercial Office, Light Industrial/Logistics","27.334","17.608","20","11","Tier 2","North America","GRESB, Largest","","","","PARTNERS GROUP AG","68912499","Partners Group AG","www.partnersgroup.com","firstname.lastname@partnersgroup.com","0","-","Cristy House","TRUE","","","","","","1","","","","",""
"Cinven","Cristy House","Hold Off","Asset Management Firm","","","","27.208","","","Missing Data","Tier 3","EU","Largest","","","","","","","","","0","-","N/A","TRUE","","","","","","1","","","","",""
"Apax Partners","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","27.205","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"TCV","Dan Baldauf","Inside Sales","Private Equity","NAM","Private","Private Equity","7.727","","193.175","09","Not on Target List","North America","Largest","","","","TCV","","Technology Crossover Ventures","www.tcv.com","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Nordic Capital","Not targeting hq not NAM","Hold Off","Asset Management Firm","","","","26.625","","","Not Targeting","Not on Target List","EU","Largest","","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
"Leonard Green Partners","Kendal Etling","Hold Off","Asset Management Firm","","","","26.21","","","Missing Data","Not on Target List","","Largest","BX Stakes","","","","","","","","0","-","#N/A","#N/A","","","","","","1","","","","",""
